id,Q,A,QS1,QS2
1,君合律师事务所上海分所联系方式是什么？,君合律师事务所上海分所的联系方式是电话：(86-21) 5298-5488，传真：(86-21) 5298-5492。,请问君合律师事务所上海分所的联系方式是什么？,君合律师事务所上海分所的联系方式是？
2,公司的本次股东大会的召集与召开程序是否符合法律规定？,公司的本次股东大会的召集与召开程序符合有关法律、法规、规范性文件及《公司章程》的规定。,本次股东大会的召集与召开程序是否符合法律法规？,公司召集的本次股东大会的程序是否符合法律规定？
3,润本生物技术股份有限公司2023年第三次临时股东大会的召开程序是否符合法律法规和公司章程的规定？,润本生物技术股份有限公司2023年第三次临时股东大会的召开程序符合法律法规和《公司章程》的规定。公司董事会根据规定召集，会议时间、地点和网络投票的相关内容均已经公告并严格按照公告进行了实施。,公司董事会是否合法合规地召集了润本生物技术股份有限公司2023年第三次临时股东大会？,润本生物技术股份有限公司2023年第三次临时股东大会的召开程序是否经过合法审议？
4,思特威（上海）电子科技股份有限公司2023年第二次临时股东大会的法律意见书有哪些内容？,该文件包括律所对股东大会召集、召开程序、出席会议人员资格、会议表决方式、表决程序和表决结果等相关事项的法律意见。,思特威（上海）电子科技股份有限公司2023年第二次临时股东大会的法律意见书具体包括哪些方面内容？,思特威（上海）电子科技股份有限公司2023年第二次临时股东大会的法律意见书主要涉及哪些方面？
5,科捷智能科技股份有限公司2023年第二次临时股东大会的法律意见书内容概述是什么？,该文件是北京市中伦（上海）律师事务所出具的法律意见书，针对科捷智能科技股份有限公司2023年第二次临时股东大会的召集、召开程序、出席人员资格、表决程序和表决结果等事项进行了审查和核实，并给出了符合《公司法》、《股东大会规则》等法律、法规和规范性文件以及《公司章程》规定的合法有效的结论。具体内容包括但不限于召开程序、出席人员资格、表决程序和表决结果等方面的详细说明。,科捷智能科技股份有限公司2023年第二次临时股东大会的法律意见书包括了哪些内容？,科捷智能科技股份有限公司2023年第二次临时股东大会的法律意见书具体讨论了什么内容？
6,德恒律师事务所出具的法律意见是否认为公司本次股东大会的召集和召开程序符合法律规定？,德恒律师认为，公司本次会议的召集程序符合《公司法》《股东大会规则》等法律、法规、规章、规范性文件以及《公司章程》的相关规定。公司本次会议的召开的实际时间、地点、会议内容与《股东大会通知》所告知的内容一致，本次会议的召集、召开程序符合法律规定。,德恒律师事务所是否认为公司本次股东大会的召集和召开程序符合法律规定？,德恒律师事务所对公司本次股东大会的召集和召开程序是否做出了何种评价？
7,康达律师事务所提供了哪些方面的法律意见？,康达律师事务所提供了关于公司股东大会的召集、召开程序、出席会议人员资格、审议事项和表决程序等方面的法律意见。,康达律师事务所就公司股东大会提供了哪些法律意见？,康达律师事务所对股东大会的哪些方面提出了法律意见？
8,北京市竞天公诚律师事务的这份文件涉及的内容是什么？,这份文件是北京市竞天公诚律师事务所出具的关于桐昆集团股份有限公司2023年限制性股票激励计划授予事项的法律意见书。文件中包括了有关公司激励计划的授予批准与授权、授予日、授予对象以及授予条件等内容。,北京市竞天公诚律师事务的这份文件涉及的主要内容是什么？,北京市竞天公诚律师事务的这份文件包括了哪些方面的内容？
9,公告的内容涉及什么内容?,公告内容涉及珠海市博元投资股份有限公司收到中国证券监督管理委员会调查通知书，涉及若干账户涉嫌违反证券法律法规交易公司股票的行为，并可能涉及交易期间在公司任职的董事。,这则公告涉及哪些方面?,涉及什么内容的公告?
10,起步股份因何受到行政处罚和市场禁入决定？,起步股份因为在2018年、2019年及2020年上半年度报告中存在虚假记载、重大遗漏，以及在公开发行文件中编造重大虚假内容，违反了证券法相关规定，因此受到了行政处罚和市场禁入决定。,为什么起步股份遭到行政处罚和市场禁入决定？,起步股份因何收到行政处罚决定书和市场禁入决定书？
11,起步股份有限公司收到的行政处罚及市场禁入事先告知书的内容及相关责任人有哪些？,起步股份有限公司收到的行政处罚及市场禁入事先告知书内容包括公司涉嫌违法事实、理由、依据及相关责任人的违法行为。涉嫌违法事实包括虚增营业收入、营业成本及利润总额、股份代持未披露行为、公开发行文件编造重大虚假内容等行为。相关责任人包括公司当时的总经理、董事长、财务总监、董事会秘书等人。,起步股份有限公司收到的行政处罚及市场禁入事先告知书包括哪些内容及相关责任人?,收到行政处罚及市场禁入事先告知书的起步股份有限公司存在哪些违法行为?
12,华仪电气股份有限公司收到的《行政处罚事先告知书》有哪些主要内容？,华仪电气股份有限公司于2023年11月21日收到了中国证监会浙江监管局下发的《行政处罚事先告知书》，主要内容包括公司涉嫌虚增营业收入、虚增应收账款、虚增利润等违法事实，以及对公司及相关负责人陈孟列、张学民的处罚决定和相应的权利告知。,华仪电气股份有限公司收到的《行政处罚事先告知书》有哪些具体违法行为？,《行政处罚事先告知书》对华仪电气股份有限公司有何影响？
13,公司的律师是否已对2023年限制性股票激励计划进行了必要的核查和验证？,是的，公司的律师已对2023年限制性股票激励计划进行了必要的核查和验证。根据法律意见书，公司律师已对提交的相关文件和资料进行了必要的核查和验证，以便出具法律意见书。,公司的律师是否核查和验证了2023年限制性股票激励计划？,2023年限制性股票激励计划是否经过公司律师的核查和验证？
14,文中提到的市值管理与操纵市场的区分是什么？,市值管理是上市公司的行为，旨在提升公司的价值并使股价充分反映公司的价值；而操纵市场则以影响股价为目标，涉及欺诈行为或者不当影响交易价量。,市值管理和操纵市场有何区别？,文中提到的市值管理和操纵市场有何不同？
15,关于股东大会召开的这份法律意见书内容涉及哪些方面？,这份法律意见书内容涉及了公司股东大会的召集、召开程序、出席会议人员资格和召集人资格的合法有效性、股东大会的表决程序以及股东大会的表决结果。,关于股东大会召开的这份法律意见书涉及了什么内容？,关于股东大会召开的法律意见书内容包括哪些方面？
16,上海医药集团股份有限公司收到了什么行政处罚决定？,上海医药集团股份有限公司的全资子公司上海上药第一生化药业有限公司收到上海市市场监督管理局下发的《行政处罚决定书》（沪市监反垄处﹝2023﹞202301401 号），因为实施不公平高价销售违反了《反垄断法》的规定，被责令停止违法行为，并处以罚款和没收违法所得的处罚。此处罚决定会对公司的财务报表造成一定负面影响。,上海医药集团股份有限公司因何受到行政处罚？,为什么上海医药收到了行政处罚决定书？
17,凯盛科技股份有限公司是否具备实施股票期权激励计划的资格？,根据本法律意见书，凯盛科技股份有限公司具备实施股票期权激励计划的主体资格和条件。公司已经依法设立并有效存续，不存在根据相关法律、法规及公司章程规定需要终止的情形，也不满足不得实行股权激励的情形的要求。此外，公司还具备实施股权激励的条件，包括公司治理结构规范、内部控制制度健全、发展战略明确等。,凯盛科技股份有限公司是否符合规定，可以实施股票期权激励计划吗？,凯盛科技股份有限公司是否具备依法设立股票期权激励计划的资格？
18,根据法律意见书，港中旅华贸国际物流股份有限公司2023年第二次临时股东大会的召集、召开程序、参与表决和表决结果是否合法、有效？,根据法律意见书，港中旅华贸国际物流股份有限公司2023年第二次临时股东大会的召集、召开程序、参与表决和表决结果合法、有效。,2023年第二次临时股东大会的召集、召开程序、参与表决和表决结果是否符合法律法规？,港中旅华贸国际物流股份有限公司2023年第二次临时股东大会的召集、召开程序合规吗？
19,上海汇丽建材股份有限公司2023年第一次临时股东大会的法律意见书内容概述是什么？,这篇法律意见书是由上海金茂律师事务所出具的，针对上海汇丽建材股份有限公司2023年第一次临时股东大会的召集、召开程序、出席会议人员的资格、股东大会的提案，以及本次股东大会的表决程序等进行了法律意见说明。,法律意见书概述,上海汇丽建材股份有限公司2023年第一次临时股东大会的法律意见书详细内容是什么？
20,深圳传音控股股份有限公司2023年第二次临时股东大会的法律意见书的核查内容有哪些？,法律意见书核查内容包括：召集和召开程序的合法性、出席人员及会议召集人资格的确认、会议表决程序的合法性、以及股东大会的表决结果的合法有效性。,对深圳传音控股股份有限公司2023年第二次临时股东大会的法律意见书进行核查涉及哪些内容？,深圳传音控股股份有限公司2023年第二次临时股东大会的法律意见书需核查哪些方面？
21,上海新致软件股份有限公司限制性股票激励计划的目的是什么？,上海新致软件股份有限公司实施限制性股票激励计划的目的是为了进一步健全公司长效激励机制，吸引和留住优秀人才，充分调动公司员工的积极性，有效地将股东利益、公司利益和员工个人利益结合在一起，使各方共同关注公司的长远发展。,上海新致软件股份有限公司为什么实施限制性股票激励计划？,上海新致软件股份有限公司为何要推行限制性股票激励计划？
22,上海市锦天城律师事务的这份文件主要包括哪些内容？,这份文件是上海市锦天城律师事务所就北京浩瀚深度信息技术股份有限公司发行可转换公司债券所涉的法律事宜出具的法律意见书。内容包括声明事项、释义以及正文部分，正文部分包括本次发行的批准和授权、发行人本次发行的主体资格、实质条件、设立、关联交易等详细内容。,上海市锦天城律师事务的这份文件的主要内容有哪些部分？,上海市锦天城律师事务的这份文件详细罗列了哪些方面的问题？
23,该律师事务所所提供的法律意见书的目的是什么？,该律师事务所提供的法律意见书旨在就江西悦安新材料股份有限公司向特定对象发行 A股股票的相关法律事项出具意见。,这份法律意见书的目的是为什么？,律师事务所提供这份法律意见书的主要目标是什么？
24,对于苏州道森钻采设备股份有限公司第一期“奋斗者”员工持股计划的法律意见，该律师事务所是如何给出确认公司实施本次员工持股计划的主体资格的？,该律师事务所通过核查公司文件和资料，并查询国家企业信用信息公示系统，确认了苏州道森钻采设备股份有限公司是依法设立并有效存续的股份有限公司，不存在需要解散或终止的情形，具备实施本次员工持股计划的主体资格。,这家律师事务所是如何确认苏州道森钻采设备股份有限公司具有实施员工持股计划的主体资格的？,该律师事务所是如何核实苏州道森钻采设备股份有限公司是否具备实施员工持股计划的主体资格的？
25,上海机电股份有限公司公告中提到的行政处罚对公司的影响如何？,上海机电股份有限公司公告中提到的行政处罚对公司的影响主要表现在：一是行政处罚涉及的主体为上海电气及其相关方，不涉及上海机电股份有限公司，不会对其正常生产经营活动造成影响；二是上述行政处罚将以中国证监会对上海电气最终出具的《行政处罚决定书》结论为准。上海机电股份有限公司将持续关注该事项的后续进展并依照有关法律法规的规定及时履行信息披露义务。,上海机电股份有限公司公告中行政处罚对公司的影响有哪些？,行政处罚对上海机电股份有限公司本身的影响有哪些？
26,上海机电股份有限公司控股股东是否因行政处罚受到影响？,上海机电股份有限公司控股股东上海电气及其相关方因行政处罚受到影响，但不会对上海机电股份有限公司的正常生产经营活动造成影响。,控股股东上海电气因行政处罚受到了影响吗？,行政处罚对上海机电股份有限公司的控股股东有什么影响？
27,关于上海电气的这则公告涉及了哪些主要违法事实和责任人员?,该公告涉及上海电气涉嫌未及时披露重大事件以及2020年年报存在虚假记载的违法事实，责任人员包括郑建华、胡康、伏蓉、陈干锦、沈欣、毛利民等。,关于上海电气的这份公告涉及了哪些违法行为和涉事人员?,关于上海电气的这份公告中指出了哪些违法事实及相关责任人员?
28,这则公告涉及的证券违法行为有哪些？,这则公告涉及的证券违法行为包括未及时披露可能导致经营业绩亏损或大幅变动的重大事件以及在2020年年报中存在虚假记载的行为。,公告中所涉及的证券违法行为有哪些？,这则公告涉及了哪些违法行为？
29,金茂凯德律师事务所对上海外高桥集团股份有限公司2023年第三次临时股东大会的法律意见,金茂凯德律师事务所根据相关法律、法规和规范性文件，就上海外高桥集团股份有限公司2023年第三次临时股东大会的召集、召开程序、出席会议人员资格以及股东大会表决程序等发表法律意见，并确认本次股东大会的各项程序合法有效。,金茂凯德律师事务所对上海外高桥集团股份有限公司2023年第三次临时股东大会的法律解读,2023年上海外高桥集团股份有限公司第三次临时股东大会法律意见书内容
30,上海金茂凯德律师事务所对于2023年第一次临时股东大会的法律意见包括哪些方面？,上海金茂凯德律师事务所的法律意见涵盖了第一次临时股东大会的召集和召开程序、出席会议人员的资格、股东大会未有股东提出临时提案、现场会议的表决程序、网络投票的表决程序以及股东大会的表决结果等方面。,上海金茂凯德律师事务所对于2023年第一次临时股东大会的法律意见涵盖了哪些内容？,2023年第一次临时股东大会，上海金茂凯德律师事务所提供了哪些方面的法律意见？
31,律师事务所在法律意见书中对东方时尚驾驶学校股份有限公司2023年第三次临时股东大会的召集和召开程序、出席会议人员资格、召集人的资格以及股东大会的表决程序和结果是否发表了法律意见？,律师事务所在法律意见书中确实对东方时尚驾驶学校股份有限公司2023年第三次临时股东大会的召集和召开程序、出席会议人员资格、召集人的资格以及股东大会的表决程序和结果发表了法律意见。,律师事务所是否在法律意见书中对东方时尚驾驶学校股份有限公司2023年第三次临时股东大会的法律程序和结果发表了意见？,东方时尚驾驶学校股份有限公司2023年第三次临时股东大会的法律意见是否在法律意见书中得到了充分阐述？
32,中国船舶重工股份有限公司因何收到行政处罚事先告知书？,"中国船舶重工股份有限公司因未对下属子公司存货在相应会计期间准确计提减值，导致2018年多计利润7,181.24万元，2019年多计利润10,711.29万元，2020年少计利润12,200万元，从而使得 2018年、2019年、2020年年度报告存在错报，因此受到了行政处罚事先告知书的通知。",中国船舶重工股份有限公司为什么会收到行政处罚事先告知书？,中国船舶重工股份有限公司收到何种通知并受到什么处罚？
33,中国船舶重工股份有限公司收到的行政处罚决定书对公司有何影响？,中船重工因未对下属子公司存货在相应会计期间准确计提减值，导致2018年多计利润7181.24万元，2019年多计利润10711.29万元，2020年少计利润12200万元，违反了证券法相关规定，被责令更正并处以150万元的罚款。公司已在2023年12月12日披露了关于前期会计差错更正的公告，并表示将以此为戒，提升会计核算水平，夯实会计信息质量，积极维护公司及广大投资者合法权益。,中国船舶重工股份有限公司收到行政处罚决定书对公司有什么影响？,中国船舶重工股份有限公司未对下属子公司存货在相应会计期间准确计提减值导致的行政处罚决定书对公司有何影响？
34,中昌大数据股份有限公司于2023年6月27日公告收到《行政处罚决定书》，涉及何种违法行为以及被处罚的具体情况？,中昌大数据股份有限公司收到《行政处罚决定书》涉及违法行为包括未按规定披露关联交易和未及时披露重大诉讼及进展情况。根据该决定，公司被责令改正并给予警告，处以150万元罚款；厉群南被警告并处以70万元罚款；薛玮佳被警告并处以50万元罚款。,中昌大数据股份有限公司在2023年6月27日公告中涉及哪些违法行为以及相关的处罚情况？,2023年6月27日，中昌大数据股份有限公司公告中所涉及的违法行为和处罚情况是什么？
35,中欧基金管理有限公司对旗下部分基金进行了何种修改？,中欧基金管理有限公司对旗下部分基金的《基金合同 》和《托管协议 》进行修改，修改内容涉及《公开募集证券投资基金信息披露管理办法》对基金信息披露事项相关要求的更改。,中欧基金管理有限公司针对哪些基金进行了修改？,中欧基金管理有限公司出台了什么样的公告？
36,中证鹏元资信评估股份有限公司对临沂城市发展集团有限公司受到行政处罚的公告内容是什么？,中证鹏元资信评估股份有限公司发布公告称，临沂城市发展集团有限公司因向不同的会计资料使用者提供编制依据不一致的财务会计报告而受到财政部的行政处罚。根据处罚决定书，公司2020年、2021年的财务会计报告存在明显较大差异，违反了《中华人民共和国会计法》相关规定，因此财政部决定对公司罚款5万元。,中证鹏元资信评估股份有限公司对临沂城市发展集团有限公司的行政处罚事项进行了怎样的评价？,关于临沂城市发展集团有限公司受到行政处罚的公告是什么？
37,这家公司受到了什么样的行政处罚？,这家公司因在2020年、2021年向不同的会计资料使用者提供编制依据不一致的财务会计报告，同一年度两份财务会计报告载有的资产、负债、所有者权益等方面的金额存在明显较大差异，违反了《中华人民共和国会计法》，财政部决定给予该公司罚款5万元的行政处罚。,这家公司为什么受到了行政处罚？,财政部对这家公司作出了怎样的行政处罚决定？
38,公司近五年是否存在被证监部门和交易所处罚或采取监管措施的情况？,公司最近五年不存在被证券监管部门和交易所处罚的情形，但存在监管关注函和监管警示函的情况。,在过去五年内，公司是否曾经受到证监部门或交易所的处罚或监管措施？,公司是否在近五年中经历过证监部门和交易所的处罚或监管措施？
39,对于2023年第二次临时股东大会的法律意见书内容如何评价？,2023年第二次临时股东大会的法律意见书内容详细分析了召集、召开程序、出席会议人员及出席情况、会议议案、表决程序及表决结果等方面的合法性，并给出了正面的结论意见。,2023年第二次临时股东大会的法律意见书内容如何总结？,对于2023年第二次临时股东大会的法律意见书中关于股东大会召开程序的评价如何？
40,整理该文内容并给出概括性的结论,根据国浩律师（上海）事务所出具的《亚振家居股份有限公司2023年第二次临时股东大会法律意见书》，该文概括了股东大会的召集、召开程序、出席会议人员和召集人资格、现场表决程序、网络投票和表决结果等方面的情况，最终得出该次股东大会的召集、出席、表决等程序均符合法律、法规及《公司章程》的规定，表决结果合法有效。,这份文件主要描述了哪些内容?,国浩律师（上海）事务所出具的《亚振家居股份有限公司2023年第二次临时股东大会法律意见书》有何结论?
41,这本书主要收录了哪些企业发行上市的法律法规？,这本书主要收录了《中华人民共和国公司法》、《中华人民共和国证券法》、《首次公开发行股票并上市管理办法》、《中国证券监督管理委员会股票发行审核委员会办法》等相关法律法规。,这本书具体收录了哪些企业发行上市的法律法规？,这本书详细收录了哪些企业发行上市的法律法规？
42,文本中的内容需要整理和解读，如何利用我的专业知识提高工作效率？,通过建立自己的知识体系、深入研究行业报告和相关数据，使用专业工具进行数据分析等方法来提高工作效率。,如何通过专业知识提高整理和解读文件的效率？,怎样利用专业知识来优化文件整理和解读的过程？
43,六国化工股份有限公司因为安全事故受到行政处罚的具体原因是什么？,六国化工股份有限公司因为安全生产主体责任落实不到位、现场安全管理不力、职工安全教育培训不到位、临时性检修和特殊作业未落实安全措施、对承包商管理不力，对事故发生负有责任，违反了《中华人民共和国安全生产法》相关规定。,六国化工股份有限公司受到行政处罚的主要原因是什么？,六国化工股份有限公司为何受到行政处罚？
44,根据法律意见书，本次股东大会的召集、召开程序符合相关法律法规吗？,根据法律意见书，本次股东大会的召集、召开程序符合《公司法》《股东大会规则》等法律、法规、规范性文件以及《公司章程》的规定。,本次股东大会是否符合相关法律法规的召集、召开程序？,法律意见书是否认为本次股东大会的召集、召开程序符合法律法规？
45,公司存放固体废物氟铝酸钾违反了那条法律？,公司被行政处罚的原因是其全资子公司在生产过程中存放固体废物氟铝酸钾违反了《中华人民共和国固体废物污染环境防治法》的相关规定。,公司存放固体废物氟铝酸钾受到了哪条法律的处罚？,公司存放固体废物氟铝酸钾违反哪条环境保护法？
46,格力地产股份有限公司因信息披露违法违规被中国证监会立案调查，前任董事、总裁林强涉嫌违规行为被行政处罚。对公司的影响及相关风险提示是什么？,格力地产因信息披露违法违规被中国证监会立案调查，前任董事、总裁林强收到行政处罚事先告知书。公司业务正常，违规行为未触及强制退市情形。公司已向监管部门报告并纠正违法行为，加强内部治理规范性，依法合规履行信息披露义务，以维护公司和股东利益。,格力地产因信息披露违法被立案调查，林强先生涉嫌行政处罚的情况如何？,格力地产前任董事、总裁林强因何被行政处罚？
47,格力地产股份有限公司因违法违规行为收到行政处罚决定书是哪些具体违规行为？,格力地产股份有限公司因违法违规行为收到行政处罚决定书的主要违规行为包括：在2018年至2021年存货减值测试中，对子公司两个地产项目可售面积、可比售价选取错误；对重庆两江新区格力地产有限公司地产项目可比售价选取错误、未对可比售价进行修正等问题；高估存货可变现净值、少计提存货跌价准备；累计少提存货减值导致多计净利润；存在财务报表错报等问题。,格力地产股份有限公司因违法违规行为受到行政处罚是什么原因？,格力地产股份有限公司受到行政处罚的主要原因是什么？
48,格力地产股份有限公司面临何种行政处罚？,格力地产股份有限公司面临的行政处罚包括警告以及50万元罚款。,格力地产股份有限公司将面临怎样的行政处罚？,格力地产股份有限公司将受到何种行政处罚？
49,格力地产股份有限公司因何受到行政处罚？,格力地产股份有限公司因2018年至2021年存货减值测试存在问题，导致累计少提存货减值导致多计净利润，违反了相关证券法规定，因此受到中国证监会的行政处罚。,为什么格力地产股份有限公司受到行政处罚？,格力地产股份有限公司为什么会被处罚？
50,华北制药和冀中集团收到的《行政处罚事先告知书》中主要涉及的违法事实是什么？,华北制药和冀中集团收到的《行政处罚事先告知书》中主要涉及的违法事实包括未按规定披露与财务公司的关联交易信息、增加在财务公司的存款并未按规定披露相关信息等。,华北制药和冀中集团收到的《行政处罚事先告知书》涉及的违法行为是什么？,华北制药和冀中集团在收到的《行政处罚事先告知书》中被指控的违法事实是什么？
51,关于上海电气风电集团股份有限公司控股股东收到行政处罚事先告知书的公告内容及影响有哪些？,公司控股股东上海电气收到中国证监会的《行政处罚事先告知书》，涉及未及时披露重大事件和虚假记载，对公司控股股东及相关人员提出警告和罚款要求。目前不会影响公司的生产经营活动，公司将持续关注后续进展并履行信息披露义务。,上海电气风电集团股份有限公司控股股东收到的行政处罚事先告知书有哪些主要内容？,上海电气风电集团股份有限公司的控股股东收到的行政处罚事先告知书会对公司的生产经营活动产生影响吗？
52,上海电气风电集团股份有限公司因何收到行政处罚决定书？,上海电气风电集团股份有限公司收到行政处罚决定书的原因是其控股股东上海电气涉嫌信息披露违法违规，未及时披露重大事件及在2020年年报中存在虚假记载。,为何上海电气风电集团股份有限公司收到行政处罚决定书？,上海电气风电集团股份有限公司受到行政处罚决定书的原因是什么？
